日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
給排気用のダクター;Kyūhaiki-yō no Dakutā;きゅうはいきようのだくたー;Duct untuk Ventilasi, Duct untuk Sistem Ventilasi;24;給:きゅう|排:はい|気:き|用:よう|ダクター:だくたー
水管;Suikan;すいかん;Pipa Air;24;水:すい|管:かん
損傷;Sonshō;そんしょう;Kerusakan, Cacat, Kerugian;24;損:そん|傷:しょう
たわみ;Tawami;たわみ;Lendutan, Penyimpangan, Deformasi, Pembengkokan　(karena beban);24;
そり;Sori;そり;Penyimpangan, Deformasi, Pembengkokan (pada material);24;
しみ跡;Shimiato;しみあと;Noda, Bekas Noda;24;跡:あと
汚損;Oson;おそん;Kotor, Noda, Kerusakan, Kerugian, Cacat;24;汚:お|損:そん
色むら;Iromura;いろむら;Warna Tidak Merata, Perbedaan Warna, Noda Warna;24;色:いろ|むら
金属板;Kinzokuban;きんぞくばん;Lembaran Logam, Plat Logam;24;金:きん|属:ぞく|板:ばん
腐食;Fushoku;ふしょく;Korosi, Karat;24;腐:ふ|食:しょく
変形;Henkei;へんけい;Deformasi, Perubahan Bentuk;24;変:へん|形:けい
破損;Hason;はそん;Kerusakan, Cacat, Kerugian;24;破:は|損:そん
目視;Mokushi;もくし;Pemeriksaan Visual, Inspeksi Visual;24;目:もく|視:し
触診;Shokushin;しょくしん;Pemeriksaan dengan Sentuhan, Palpasi;24;触:しょく|診:しん
周期;Shūki;しゅうき;Siklus, Periode;24;周:しゅう|期:き
劣化;Rekka;れっか;Aus, Degradasi, Kerusakan, Penurunan Kualitas;24;劣:れっ|化:か
野縁;Nobuchi;のぶち;Bingkai Langit-langit, Rangka Langit-langit;24;野:の|縁:ぶち
修繕;Shūzen;しゅうぜん;Perbaikan, Perawatan, Pemeliharaan;24;修:しゅう|繕:ぜん
法令;Hōrei;ほうれい;Peraturan, Undang-Undang, Hukum;24;法:ほう|令:れい
某会性能;Bōkai Seino;ぼうかいせいのう;Kemampuan Tahan Terhadap Api, Kinerja Tahan Api, Kinerja Tahan Kebakaran;24;某:ぼう|会:かい|性能:せいのう
張り替え;Harikae;はりかえ;Penggantian, Pemasangan Ulang;24;張:は|替:か

内壁;Naikabe;ないへき;Dinding Interior, Dinding Dalam;26;内:ない|壁:へき
壁仕上げ材;Kabe Shiage-zai;かべしあげざい;Bahan Finishing Dinding;26;壁:かべ|仕:し|上:あ|材:ざい
胴縁;Dōbuchi;どうぶち;Rangka Dinding, Rangka Penopang Dinding;26;胴:どう|縁:ぶち
下地組;Shitaji Gumi;したじぐみ;Rangka Dasar, Rangka Penopang;26;下:した|地:じ|組:ぐみ
留め付ける;Tome Tsukeru;とめつける;Menempelkan, Memasang, Menyematkan;26;留:と|付:つ
接触;Sesshoku;せっしょく;Kontak, Sentuhan;26;接:せっ|触:しょく

自動ドア;Jidō Doa;じどうドア;Pintu Otomatis;32;自:じ|動:どう
制御基板;Seigyo Kiban;せいぎょきばん;Papan Kontrol, Papan Pengendali;32;制:せい|御:ぎょ|基:き|板:ばん
起動装置;Kidō Sōchi;きどうそうち;Perangkat Penggerak, Perangkat Aktuator;32;起:き|動:どう|装:そう|置:ち
合図;Aizu;あいず;Sinyal, Tanda;32;合:あい|図:ず
役割;Yakuwari;やくわり;Peran, Tugas, Fungsi;32;役:やく|割:わり
感知;Kanchi;かんち;Deteksi, Pendeteksian;32;感:かん|知:ち
停止;Teishi;ていし;Berhenti, Penghentian;32;停:てい|止:し
未然;Mizen;みぜん;Sebelum Terjadi, Pencegahan;32;未:み|然:ぜん
果たす;Hatasu;はたす;Memenuhi, Melaksanakan, Menjalankan;32;果:は
無目式;Mumokushiki;むもくしき;Tanpa Palang;32;無:む|目:もく|式:しき
上部;Jōbu;じょうぶ;Bagian Atas;32;上:じょう|部:ぶ
設置する;Secchi suru;せっちする;Memasang, Menempatkan, Mendirikan;32;設:せっ|置:ち
使用;Shiyō;しよう;Penggunaan;32;使:し|用:よう
商業施設;Shōgyō Shisetsu;しょうぎょうしせつ;Fasilitas Komersial;32;商:しょう|業:ぎょう|施:し|設:せつ
人感センサー;Jinkan Sensā;じんかんセンサー;Sensor Deteksi Manusia, Sensor Gerak;32;人:じん|感:かん
赤外線式;Sekigaisen-shiki;せきがいせんしき;Tipe Ultraviolet, Tipe Inframerah;32;赤:せき|外:がい|線:せん|式:しき
電波式;Denpa-shiki;でんぱしき;Tipe Gelombang Radio, Tipe Radio;32;電:でん|波:ぱ|式:しき
反応;Hannō;はんのう;Respon, Reaksi;32;反:はん|応:のう
触れる;Fureru;ふれる;Menyentuh, Tersentuh;32;触:ふ
メリット;Meritto;メリット;Kelebihan, Keuntungan, Manfaat;32;
デメリット;Demeritto;デメリット;Kekurangan, Kerugian, Kelemahan;32;
屋外;Okugai;おくがい;Luar Ruangan, Di Luar;32;屋:おく|外:がい
誤作動;Gosadō;ごさどう;Kesalahan Kerja Sensor, Kesalahan Operasi, Malfungsi;32;誤:ご|作:さ|動:どう
振動;Shindō;しんどう;Getaran, Vibrasi;32;振:しん|動:どう
面する;Mensuru;めんする;Menghadap, Berhadapan dengan;32;面:めん
区別;Kubetsu;くべつ;Perbedaan, Pembeda, Klasifikasi;32;区:く|別:べつ
旗;Hata;はた;Bendera;32;旗:はた
貼り付ける;Haritsukeru;はりつける;Menempelkan, Memasang, Menyematkan;32;貼:は|付:つ
限る;Kagiru;かぎる;Terbatas, Hanya, Membatasi;32;限:かぎ
飲食店;Inshokuten;いんしょくてん;Restoran, Tempat Makan dan Minum;32;飲:いん|食:しょく|店:てん
適する;Tekisuru;てきする;Cocok, Sesuai, Tepat;32;適:てき|する
感染症対策;Kansenshō Taisaku;かんせんしょうたいさく;Tindakan Pencegahan Penyakit Menular, Tindakan Pencegahan Infeksi;32;感:かん|染:せん|症:しょう|対:たい|策:さく
手かざし;Tekazashi;てかざし;Pendeteksian dengan Tangan, Deteksi dengan Tangan;32;手:て
非接触;Hisesshoku;ひせっしょく;Tanpa Kontak, Non-Kontak;32;非:ひ|接:せっ|触:しょく
感染症;Kansenshō;かんせんしょう;Penyakit Menular, Infeksi;32;感:かん|染:せん|症:しょう
防疫;Bōeki;ぼうえき;Pencegahan Wabah, Pencegahan Epidemi, Pencegahan Penyakit Menular;32;防:ぼう|疫:えき
有効;Yūkō;ゆうこう;Efektif, Valid, Berlaku;32;有:ゆう|効:こう
無線式;Musen-shiki;むせんしき;Tipe Nirkabel, Tipe Wireless;32;無:む|線:せん|式:しき
有線式;Yūsen-shiki;ゆうせんしき;Tipe Berkabel, Tipe Kabel;32;有:ゆう|線:せん|式:しき
幅;Haba;はば;Lebar;32;幅:はば
柱;Hashira;はしら;Tiang, Kolom;32;柱:はしら
反射;Hansha;はんしゃ;Refleksi, Pantulan, Reflektor;32;反:はん|射:しゃ
物体;Buttai;ぶったい;Benda, Objek;32;物:ぶつ|体:たい
近づける;Chikazukeru;ちかづける;Mendekatkan, Mendekati;32;近:ちか

重量;Jūryō;じゅうりょう;Berat;34;重:じゅう|量:りょう
軽量;Keiryō;けいりょう;Ringan;34;軽:けい|量:りょう
通常;Tsūjō;つうじょう;Normal, Biasa, Umum;34;通:つう|常:じょう
電動式;Dendō-shiki;でんどうしき;Sistem Elektrik, Tipe Elektrik, Tipe Bertenaga Listrik;34;電:でん|動:どう|式:しき
防火;Bōka;ぼうか;Pencegahan Kebakaran, Tahan Api, Tahan Kebakaran;34;防:ぼう|火:か
防煙区画;Bōen Kukaku;ぼうえんくかく;Zona Pengendali Asep, Area Tahan Asap;34;防:ぼう|煙:えん|区:く|画:かく
設ける;Mōkeru;もうける;Menyediakan, Mendirikan, Memasang;34;設:もう|ける
手動式;Shudō-shiki;しゅどうしき;Tipe Manual, Tipe Pengoperasian Manual;34;手:しゅ|動:どう|式:しき
自動閉鎖型;Jidō Heisagata;じどうへいさがた;Tipe Penutupan Otomatis;34;自:じ|動:どう|閉:へい|鎖:さ|型:がた
大空間;Daikūkan;だいくうかん;Ruang Besar, Area Besar;34;大:だい|空:くう|間:かん
分割区画;Bunkatsu Kukaku;ぶんかつくかく;Pembagian Area, Zona Terpisah, Area Terpisah;34;分:ぶん|割:かつ|区:く|画:かく
防煙;Bōen;ぼうえん;Tahan Asap, Pencegahan Asap;34;防:ぼう|煙:えん
周り;Mawari;まわり;Sekitar, Lingkungan, Sekeliling;34;周:まわ
火災;Kasai;かさい;Kebakaran;34;火:か|災:さい
降下;Kōka;こうか;Penurunan, Turun, Menurun;34;降:こう|下:か
点検;Tenken;てんけん;Pemeriksaan, Inspeksi;34;点:てん|検:けん
保守;Hoshu;ほしゅ;Pemeliharaan, Perawatan;34;保:ほ|守:しゅ
電動;Dendō;でんどう;Elektrik, Bertenaga Listrik;34;電:でん|動:どう
専門業者;Senmon Gyōsha;せんもんぎょうしゃ;Penyedia Jasa Profesional, Kontraktor Profesional;34;専門:せんもん|業:ぎょう|者:しゃ
定期的な;Teikiteki na;ていきてきな;Secara Berkala;34;定:てい|期:き|的:てき
契約;Keiyaku;けいやく;Kontrak, Perjanjian;34;契:けい|約:やく
点検周期;Tenken Shūki;てんけんしゅうき;Siklus Inspeksi, Periode Pemeriksaan;34;点:てん|検:けん|周:しゅう|期:き
劣化;Rekka;れっか;Aus, Degradasi, Kerusakan, Penurunan Kualitas;34;劣:れっ|化:か
対応;Taiō;たいおう;Tanggapan, Respon, Penanganan;34;対:たい|応:おう
不具合;Fuguai;ふぐあい;Kerusakan, Malfungsi, Cacat;34;不:ふ|具:ぐ|合:あい
発生;Hassei;はっせい;Terjadi, Muncul, Timbul;34;発:はっ|生:せい
巻きぐせ;Makiguse;まきぐせ;Bekas Gulungan, Bekas Melipat;34;巻:ま
下端;Katan;かたん;Tepi Bawah, Ujung Bawah;34;下:か|端:たん
回上下;Kaijōge;かいじょうげ;Naik Turun, Naik dan Turun;34;回:かい|上下:じょうげ
以外;Igai;いがい;Selain, Kecuali;34;以:い|外:がい
依頼;Irai;いらい;Permintaan, Permohonan, Tugas;34;依:い|頼:らい

水道水;Suidōsui;すいどうすい;Air Bersih, Air Keran, Air Ledeng;51;水:すい|道:どう|水:すい
水道排水管;Suidō Haisui-kan;すいどうはいすいかん;Pipa Distribusi Air Bersih;51;水:すい|道:どう|排:はい|水:すい|管:かん
分岐;Bunki;ぶんき;Cabang, Pembagian, Percabangan;51;分:ぶん|岐:き
給水管;Kyūsui-kan;きゅうすいかん;Pipa Suplai Air, Pipa Pasokan Air, Pipa Air Bersih;51;給:きゅう|水:すい|管:かん
直結水方式;Chokketsu Mizu Hōshiki;ちょっけつみずほうしき;Sistem Air Langsung, Sistem Air Terhubung Langsung;51;直:ちょく|結:けつ|水:みず|方式:ほうしき
貯水槽水道方式;Chosuisō Suidō Hōshiki;ちょすいそうすいどうほうしき;Sistem Air dengan Tangki Penyimpanan, Sistem Air dengan Tangki Penampungan;51;貯:ちょ|水:すい|槽:そう|水:すい|道:どう|方式:ほうしき
肝要;Kanyō;かんよう;Penting, Esensial, Krusial;51;肝:かん|要:よう
給水装置;Kyūsui Sōchi;きゅうすいそうち;Penyedian Air Bersih;51;給:きゅう|水:すい|装:そう|置:ち
基準;Kijun;きじゅん;Standar;51;基:き|準:じゅん
汚染防止;Osenshō;おせんしょう;Pencegahan Kontaminasi, Pencegahan Pencemaran, Pencegahan Polusi;51;汚:お|染:せん|防:しょう
浸出基準;Shinshutsu Kijun;しんしゅつきじゅん;Standar Batas Zat Yang Terlarut, Standar Infiltrasi, Standar Perkolasi;51;浸:しん|出:しゅつ|基:き|準:じゅん
破壊防止;Hakai Bōshi;はかいぼうし;Pencegahan Kerusakan, Pencegahan Perusakan;51;破:は|壊:かい|防:ぼう|止:し
水撃;Suigeki;すいげき;Tekanan Air Pada Pipa, Water Hammer;51;水:すい|撃:げき
耐えうり;Taeuri;たえうり;Tahan, Tahan Terhadap, Mampu Menahan;51;耐:た
浸食防止;Shinshoku Bōshi;しんしょくぼうし;Pencegahan Erosi, Pencegahan Pengikisan;51;浸:しん|食:しょく|防:ぼう|止:し
酸;San;さん;Asam;51;酸:さん
耐食性;Taishokusei;たいしょくせい;Ketahanan Korosi, Ketahanan Terhadap Korosi;51;耐:たい|食:しょく|性:せい
逆流防止;Gyaku Ryū Bōshi;ぎゃくりゅうぼうし;Pencegahan Aliran Balik, Pencegahan Backflow;51;逆:ぎゃく|流:りゅう|防:ぼう|止:し
凍結防止;Tōketsu Bōshi;とうけつぼうし;Pencegahan Pembekuan, Pencegahan Beku;51;凍:とう|結:けつ|防:ぼう|止:し
耐寒性能;Taikan Seino;たいかんせいのう;Kinerja Tahan Dingin, Kemampuan Tahan Dingin;51;耐:たい|寒:かん|性能:せいのう
工業用水;Kōgyōyōsui;こうぎょうようすい;Air untuk Keperluan Industri, Air Industri;51;工:こう|業:ぎょう|用:よう|水:すい
クロスコネクション防止;Kurosu Konekushon Bōshi;クロスコネクションぼうし;Pencegahan Cross Connection, Pencegahan Sambungan Silang;51;クロスコネクション:クロスコネクション|防:ぼう|止:し
地下水直接連結;Chikasui Chokusetsu Renketsu;ちかすいちょくせつれんけつ;Sambungan Langsung Air Tanah, Koneksi Langsung Air Bawah Tanah;51;地下:ちか|水:すい|直接:ちょくせつ|連結:れんけつ

受水槽;Jusuisō;じゅすいそう;Tangki Penampungan Air, Tangki Penyimpanan Air;53;受:じゅ|水:すい|槽:そう
照合住宅;Shōgō Jūtaku;しょうごうじゅうたく;Rumah Susun;53;照:しょう|合:ごう|住:じゅう|宅:たく
有効容量;Yūkō Yōryō;ゆうこうようりょう;Kapasitas Efektif, Kapasitas yang Dapat Digunakan;53;有:ゆう|効:こう|容:よう|量:りょう
簡易専用水道;Kani Senyō Suidō;かにせんようすいどう;Jaringan Air Minum Sederhana (Dengan Tangki);53;簡:かん|易:い|専:せん|用:よう|水:すい|道:どう
衛生的;Eiseiteki;えいせいてき;Higienis, Bersih, Sanitasi;53;衛:えい|生:せい|的:てき
設置者;Secchisha;せっちしゃ;Pihak Pemasang, Pemasangan;53;設:せっ|置:ち|者:しゃ
義務;Gimu;ぎむ;Kewajiban;53;義:ぎ|務:む
水量;Suiryō;すいりょう;Volume Air, Jumlah Air;53;水:すい|量:りょう
確保;Kakuho;かくほ;Menjamin, Memastikan (Ketersedian), Mengamankan;53;確:かく|保:ほ
圧力;Atsuryoku;あつりょく;Tekanan;53;圧:あつ|力:りょく
有効容量;Yūkō Yōryō;ゆうこうようりょう;Kapasitas Efektif, Kapasitas yang Dapat Digunakan;53;有:ゆう|効:こう|容:よう|量:りょう
最高水位;Saikō Suii;さいこうすいい;Tinggi Air Maksimal, Batas Atas Air;53;最:さい|高:こう|水:すい|位:い
滞留時間;Tairyū Jikan;たいりゅうじかん;Lamanya Air Tertahan (Dalam Tangki Atau Sistem), Waktu Retensi, Waktu Tertahan;53;滞:たい|留:りゅう|時間:じかん
減少;Genshō;げんしょう;Penurunan, Pengurangan, Degradasi;53;減:げん|少:しょう
雑菌;Zakkin;ざっきん;Bakteri, Kuman, Mikroorganisme;53;雑:ざっ|菌:きん

高架水槽;Kōka Suisō;こうかすいそう;Tangki Air di Atas Tanah, Tangki Air Tinggi, Tangki Air Atas;55;高:こう|架:か|水:すい|槽:そう
受水槽;Jusuisō;じゅすいそう;Tangki Penampungan Air, Tangki Penyimpanan Air;55;受:じゅ|水:すい|槽:そう
介する;Kaisuru;かいする;Melalui, Melintasi, Melibatkan;55;介:かい
水道水;Suidōsui;すいどうすい;Air Bersih, Air Keran, Air Ledeng;55;水:すい|道:どう|水:すい
一時的;Ichijiteki;いちじてき;Sementara, Sementara Waktu;55;一:いち|時:じ|的:てき
貯める;Tameru;ためる;Menyimpan, Menampung, Mengumpulkan;55;貯:た
設備;Setsubi;せつび;Peralatan, Fasilitas, Instalasi;55;設:せつ|備:び
重力;Jūryoku;じゅうりょく;Gravitasi, Gaya Gravitasi;55;重:じゅう|力:りょく
使用箇所;Shiyō Kasho;しようかしょ;Titik Penggunaan, Lokasi Penggunaan;55;使:し|用:よう|箇:か|所:しょ
給水;Kyūsui;きゅうすい;Pasokan Air, Penyediaan Air, Pemasokan Air;55;給:きゅう|水:すい
容量;Yōryō;ようりょう;Kapasitas, Volume;55;容:よう|量:りょう
程度;Teido;ていど;Tingkat, Derajat, Skala;55;程:てい|度:ど
目安;Meyasu;めやす;Panduan, Acuan, Indikator;55;目:め|安:やす
同様;Dōyō;どうよう;Sama, Serupa, Seperti;55;同:どう|様:よう
滞留時間;Tairyū Jikan;たいりゅうじかん;Lamanya Air Tertahan (Dalam Tangki Atau Sistem), Waktu Retensi, Waktu Tertahan;55;滞:たい|留:りゅう|時間:じかん
消毒;Shōdoku;しょうどく;Disinfeksi, Sterilisasi;55;消:しょう|毒:どく
効果;Kōka;こうか;Efek, Hasil, Manfaat;55;効:こう|果:か
雑菌;Zakkin;ざっきん;Bakteri, Kuman, Mikroorganisme;55;雑:ざっ|菌:きん
汚染;Osen;おせん;Kontaminasi, Pencemaran, Polusi;55;汚:お|染:せん
水位制御方式;Suii Seigyo Hōshiki;すいいせいぎょほうしき;Sistem Pengendalian Ketinggian Air, Sistem Kontrol Level Air;55;水:すい|位:い|制:せい|御:ぎょ|方式:ほうしき
対;Tai;たい;Tanggapan, Respon, Penanganan;55;対:たい
高置水槽;Kōchi Suisō;こうちすいそう;Tangki Air Tinggi, Tangki Air di Atas Tanah;55;高:こう|置:ち|水:すい|槽:そう
揚水;Yōsui;ようすい;Pemompaan Air, Pengangkatan Air;55;揚:よう|水:すい
油膜;Yumaku;ゆまく;Lapisan Minyak, Lapisan Oli;55;油:ゆ|膜:まく
付着;Fuchaku;ふちゃく;Menempel, Adherensi, Keterikatan;55;付:ふ|着:ちゃく
導通不良;Dōtsū Furyō;どうつうふりょう;Kegagalan Konduksi, Gangguan Konduksi, Kegagalan Listrik;55;導:どう|通:つう|不:ふ|良:りょう
水位;Suii;すいい;Ketinggian Air, Level Air;55;水:すい|位:い
制御;Seigyo;せいぎょ;Kontrol, Pengendalian;55;制:せい|御:ぎょ
機能;Kinō;きのう;Fungsi, Kemampuan, Kinerja;55;機:き|能:のう
簡易専用水道;Kani Senyō Suidō;かにせんようすいどう;Jaringan Air Minum Sederhana (Dengan Tangki);55;簡:かん|易:い|専:せん|用:よう|水:すい|道:どう
検査;Kensa;けんさ;Pemeriksaan, Inspeksi;55;検:けん|査:さ
清掃;Seisō;せいそう;Pembersihan;55;清:せい|掃:そう
義務;Gimu;ぎむ;Kewajiban;55;義:ぎ|務:む
通気口;Tsūkikō;つうきこう;Ventilasi, Lubang Ventilasi;55;通:つう|気:き|口:こう
マンホール;Manhōru;マンホール;Lubang Inspeksi, Lubang Akses, Manhole;55;
電極座;Denkyokuzā;でんきょくざ;Soket Elektroda, Dudukan Elektroda;55;電:でん|極:きょく|座:ざ
電極棒;Denkyokubō;でんきょくぼう;Elektrode, Batang Elektroda;55;電:でん|極:きょく|棒:ぼう
梯子;Hashigo;はしご;Tangga, Ladder;55;梯:はし|子:ご
オーバーフロー管;Ōbāfurō-kan;オーバーフロー管;Pipa Limpasan, Pipa Overflow;55;管:かん
防虫網;Bōchūmō;ぼうちゅうもう;Kasa Nyamuk, Jaring Anti Serangga;55;防:ぼう|虫:ちゅう|網:もう
給水管;Kyūsui-kan;きゅうすいかん;Pipa Suplai Air, Pipa Pasokan Air, Pipa Air Bersih;55;給:きゅう|水:すい|管:かん
各階へ給水;Kakkai e Kyūsui;かっかいへきゅうすい;Pasokan Air ke Setiap Lantai, Pemasokan Air ke Setiap Lantai;55;各:かく|階:かい|給:きゅう|水:すい
揚水管;Yōsuikan;ようすいかん;Pipa Pemompaan Air, Pipa Pengangkatan Air;55;揚:よう|水:すい|管:かん
揚水ポンプより;Yōsui Ponpu yori;ようすいポンプより;Dari Pompa Pemompaan Air, Dari Pompa Pengangkatan Air;55;揚:よう|水:すい
水抜き穴;Mizunuki Ana;みずぬきあな;Lubang Pembuangan Air, Lubang Pengurasan Air;55;水:みず|抜:ぬ|穴:あな
構造;Kōzō;こうぞう;Struktur, Konstruksi;55;構:こう|造:ぞう
揚水ユニットより;Yōsui Yunitto yori;ようすいユニットより;Dari Unit Pemompaan Air, Dari Unit Pengangkatan Air;55;揚:よう|水:すい
制御盤;Seigyoban;せいぎょばん;Panel Kontrol, Papan Kontrol;55;制:せい|御:ぎょ|盤:ばん
定水位弁;Teisuii Ben;ていすいいべん;Katup Ketinggian Air Tetap, Katup Pengatur Ketinggian Air;55;定:てい|水:すい|位:い|弁:べん
ボールタップ;Bōru Tappu;ボールタップ;Katup Bola, Katup Keran Bola;55;

原理;Genri;げんり;Prinsip (Dasar);57;原:げん|理:り
