漢字;Romaji;Cara Baca;インドネシア語;第～週;～日目;Hari ke-;Furigana Map
正確;seikaku;せいかく;tepat, akurat;第1週;2日目;Hari ke-2;正:せい|確:かく
認める;mitomeru;みとめる;mengakui, mengenali;第1週;2日目;Hari ke-2;認:みと
確認;kakunin;かくにん;konfirmasi;第1週;2日目;Hari ke-2;確:かく|認:にん
横;yoko;よこ;samping;第1週;2日目;Hari ke-2;横:よこ
横断;ōdan;おうだん;menyeberang;第1週;2日目;Hari ke-2;横:おう|断:だん
横断歩道;ōdanhodō;おうだんほどう;zebra cross, penyeberangan;第1週;2日目;Hari ke-2;横:おう|断:だん|歩:ほ|道:どう
押す;osu;おす;mendorong, menekan;第1週;2日目;Hari ke-2;押:お
押さえる;osaeru;おさえる;menekan, menahan;第1週;2日目;Hari ke-2;押:お
押入れ;oshīre;おしいれ;lemari oshiire;第1週;2日目;Hari ke-2;押:おし|入:い
入学式;nyūgaku shiki;にゅうがくしき;upacara masuk sekolah;第1週;2日目;Hari ke-2;入:にゅう|学:がく|式:しき
数式;sūshiki;すうしき;rumus;第1週;2日目;Hari ke-2;数:すう|式:しき
押しボタン式;oshibotanshiki;おしボタンしき;dengan cara menekan tombol;第1週;2日目;Hari ke-2;押:おしボタン|式:しき
飛ぶ;tobu;とぶ;terbang;第1週;2日目;Hari ke-2;飛:と
飛行場;hikōjō;ひこうじょう;bandara, lapangan terbang;第1週;2日目;Hari ke-2;飛:ひ|行:こう|場:じょう
信じる;shinjiru;しんじる;percaya, mempercayai;第1週;2日目;Hari ke-2;信:しん
送信;sōshin;そうしん;mengirim;第1週;2日目;Hari ke-2;送:そう|信:しん
自信;jishin;じしん;percaya diri;第1週;2日目;Hari ke-2;自:じ|信:しん
信用;shinyō;しんよう;kepercayaan, trust;第1週;2日目;Hari ke-2;信:しん|用:よう
信号;shingō;しんごう;lampu lalu lintas;第1週;2日目;Hari ke-2;信:しん|号:ごう
〜号車;~gōsha;〜ごうしゃ;nomor kereta;第1週;2日目;Hari ke-2;号:〜ごう|車:しゃ
非常に;hijōni;ひじょうに;sangat;第1週;3日目;Hari ke-3;非:ひ|常:じょう
非常;hijō;ひじょう;darurat;第1週;3日目;Hari ke-3;非:ひ|常:じょう
非常口;hijōguchi;ひじょうぐち;pintu darurat;第1週;3日目;Hari ke-3;非:ひ|常:じょう|口:ぐち
日常;nichijō;にちじょう;sehari-hari;第1週;3日目;Hari ke-3;日:にち|常:じょう
正常（な）;seijō (na);せいじょう（な）;normal, biasa;第1週;3日目;Hari ke-3;正:せい|常:じょう
〜階;~kai;〜かい;lantai...;第1週;3日目;Hari ke-3;階:〜かい
階段;kaidan;かいだん;tangga;第1週;3日目;Hari ke-3;階:かい|段:だん
危ない;abunai;あぶない;bahaya, berbahaya;第1週;3日目;Hari ke-3;危:あぶ
危険（な）;kiken (na);きけん（な）;bahaya, berbahaya;第1週;3日目;Hari ke-3;危:き|険:けん
箱;hako;はこ;kotak;第1週;3日目;Hari ke-3;箱:はこ
ごみ箱;gomibako;ごみばこ;tempat sampah;第1週;3日目;Hari ke-3;箱:ばこ
捨てる;suteru;すてる;membuang;第1週;3日目;Hari ke-3;捨:す
線;sen;せん;garis;第1週;4日目;Hari ke-4;線:せん
〜番線;~bansen;〜ばんせん;nomor peron;第1週;4日目;Hari ke-4;番:〜ばん|線:せん
画面;gamen;がめん;layar;第1週;4日目;Hari ke-4;画:が|面:めん
全面;zenmen;ぜんめん;secara keseluruhan;第1週;4日目;Hari ke-4;全:ぜん|面:めん
~方面;~hōmen;~ほうめん;arah, tujuan;第1週;4日目;Hari ke-4;方:~ほう|面:めん
普通;futsū;ふつう;biasa (tidak spesial);第1週;4日目;Hari ke-4;普:ふ|通:つう
各駅;kakueki;かくえき;setiap stasiun;第1週;4日目;Hari ke-4;各:かく|駅:えき
各国;kakkoku;かっこく;setiap negara;第1週;4日目;Hari ke-4;各:かっ|国:こく
各自;kakuji;かくじ;masing-masing;第1週;4日目;Hari ke-4;各:かく|自:じ
快速;kaisoku;かいそく;rapid train (lebih cepat dari biasa);第1週;4日目;Hari ke-4;快:かい|速:そく
速い;hayai;はやい;cepat (speed);第1週;4日目;Hari ke-4;速:はや
速度;sokudo;そくど;kecepatan;第1週;4日目;Hari ke-4;速:そく|度:ど
高速道路;kōsokudōro;こうそくどうろ;jalan tol;第1週;4日目;Hari ke-4;高:こう|速:そく|道:どう|路:ろ
次;tsugi;つぎ;berikutnya;第1週;4日目;Hari ke-4;次:つぎ
次回;jikai;じかい;lain kali, selanjutnya;第1週;4日目;Hari ke-4;次:じ|回:かい
目次;mokuji;もくじ;daftar isi;第1週;4日目;Hari ke-4;目:もく|次:じ
過ぎる;sugiru;すぎる;lewat, lebih;第1週;4日目;Hari ke-4;過:す
過去;kako;かこ;masa lalu;第1週;4日目;Hari ke-4;過:か|去:こ
通過;tsūka;つうか;lewat;第1週;4日目;Hari ke-4;通:つう|過:か
鉄;tetsu;てつ;besi;第1週;4日目;Hari ke-4;鉄:てつ
鉄道;tetsudō;てつどう;kereta api;第1週;4日目;Hari ke-4;鉄:てつ|道:どう
地下鉄;chikatetsu;ちかてつ;kereta bawah tanah;第1週;4日目;Hari ke-4;地:ち|下:か|鉄:てつ
指;yubi;ゆび;jari;第1週;5日目;Hari ke-5;指:ゆび
指輪;yubiwa;ゆびわ;cincin;第1週;5日目;Hari ke-5;指:ゆび|輪:わ
指定;shitei;してい;spesifik, tertentu;第1週;5日目;Hari ke-5;指:し|定:てい
指定席;shiteiseki;していせき;Kursi yang dipesan;第1週;5日目;Hari ke-5;指:し|定:てい|席:せき
定休日;teikyūbi;ていきゅうび;hari libur tetap;第1週;5日目;Hari ke-5;定:てい|休:きゅう|日:び
安定;antei;あんてい;stabil;第1週;5日目;Hari ke-5;安:あん|定:てい
不安定;fuantei;ふあんてい;tidak stabil;第1週;5日目;Hari ke-5;不:ふ|安:あん|定:てい
席;seki;せき;tempat duduk;第1週;5日目;Hari ke-5;席:せき
出席;shusseki;しゅっせき;hadir;第1週;5日目;Hari ke-5;出:しゅっ|席:せき
欠席;kesseki;けっせき;tidak hadir, absen;第1週;5日目;Hari ke-5;欠:けっ|席:せき
理由;riyū;りゆう;alasan;第1週;5日目;Hari ke-5;理:り|由:ゆう
自由;jiyū;じゆう;bebas;第1週;5日目;Hari ke-5;自:じ|由:ゆう
自由席;jiyūseki;じゆうせき;kursi bebas;第1週;5日目;Hari ke-5;自:じ|由:ゆう|席:せき
窓;mado;まど;jendela;第1週;5日目;Hari ke-5;窓:まど
窓口;madoguchi;まどぐち;konter;第1週;5日目;Hari ke-5;窓:まど|口:ぐち
窓側;madogawa;まどがわ;sisi jendela;第1週;5日目;Hari ke-5;窓:まど|側:がわ
右側;migigawa;みぎがわ;sisi kanan;第1週;5日目;Hari ke-5;右:みぎ|側:がわ
両側;ryōgawa;りょうがわ;kedua sisi;第1週;5日目;Hari ke-5;両:りょう|側:がわ
道路;dōro;どうろ;jalan;第1週;5日目;Hari ke-5;道:どう|路:ろ
線路;senro;せんろ;rel kereta;第1週;5日目;Hari ke-5;線:せん|路:ろ
通路;tsūro;つうろ;lorong;第1週;5日目;Hari ke-5;通:つう|路:ろ
番号;bangō;ばんごう;nomor;第1週;5日目;Hari ke-5;番:ばん|号:ごう
〜番;~ban;〜ばん;nomor;第1週;5日目;Hari ke-5;番:〜ばん
〜番線;~bansen;〜ばんせん;nomor peron;第1週;5日目;Hari ke-5;番:〜ばん|線:せん
停車;teisha;ていしゃ;kereta berhenti;第1週;6日目;Hari ke-6;停:てい|車:しゃ
バス停;basutei;バスてい;halte bus;第1週;6日目;Hari ke-6;停:てい
整理;seiri;せいり;menata, mengatur;第1週;6日目;Hari ke-6;整:せい|理:り
整理券;seiriken;せいりけん;tiket untuk mengatur antrian;第1週;6日目;Hari ke-6;整:せい|理:り|券:けん
駐車券;chūshaken;ちゅうしゃけん;tiket parkir;第1週;6日目;Hari ke-6;駐:ちゅう|車:しゃ|券:けん
乗車券;jōshaken;じょうしゃけん;tiket naik (kereta);第1週;6日目;Hari ke-6;乗:じょう|車:しゃ|券:けん
回数券;kaisūken;かいすうけん;tiket terusan;第1週;6日目;Hari ke-6;回:かい|数:すう|券:けん
現れる;arawareru;あらわれる;muncul;第1週;6日目;Hari ke-6;現:あらわ
現金;genkin;げんきん;uang cash;第1週;6日目;Hari ke-6;現:げん|金:きん
表現;hyōgen;ひょうげん;ekspresi, ungkapan;第1週;6日目;Hari ke-6;表:ひょう|現:げん
両親;ryōshin;りょうしん;kedua orang tua;第1週;6日目;Hari ke-6;両:りょう|親:しん
〜両;~ryō;〜りょう;gerbong;第1週;6日目;Hari ke-6;両:〜りょう
両替;ryōgae;りょうがえ;tukar uang;第1週;6日目;Hari ke-6;両:りょう|替:がえ
取り替える;torikaeru;とりかえる;menukar;第1週;6日目;Hari ke-6;取:と|替:か
着替える;kigaeru;きがえる;ganti baju;第1週;6日目;Hari ke-6;着:き|替:が
優しい;yasashī;やさしい;lembut, baik;第1週;6日目;Hari ke-6;優:やさ
優先席;yūsenseki;ゆうせんせき;kursi prioritas;第1週;6日目;Hari ke-6;優:ゆう|先:せん|席:せき
女優;joyū;じょゆう;aktris;第1週;6日目;Hari ke-6;女:じょ|優:ゆう
座る;suwaru;すわる;duduk;第1週;6日目;Hari ke-6;座:すわ
座席;zaseki;ざせき;tempat duduk;第1週;6日目;Hari ke-6;座:ざ|席:せき
正座;seiza;せいざ;duduk di lantai ala Jepang;第1週;6日目;Hari ke-6;正:せい|座:ざ
降りる;oriru;おりる;turun;第1週;6日目;Hari ke-6;降:お
降る;furu;ふる;turun;第1週;6日目;Hari ke-6;降:ふ
降車口;kōshaguchi;こうしゃぐち;pintu turun;第1週;6日目;Hari ke-6;降:こう|車:しゃ|口:ぐち
以降;ikō;いこう;selanjutnya;第1週;6日目;Hari ke-6;以:い|降:こう
未来;mirai;みらい;masa depan;第1週;7日目;Hari ke-7;未:み|来:らい
未定;mitei;みてい;belum ditentukan;第1週;7日目;Hari ke-7;未:み|定:てい
〜未満;~miman;〜みまん;kurang dari...;第1週;7日目;Hari ke-7;未:〜み|満:まん
週末;shūmatsu;しゅうまつ;akhir pekan;第1週;7日目;Hari ke-7;週:しゅう|末:まつ
月末;getsumatsu;げつまつ;akhir bulan;第1週;7日目;Hari ke-7;月:げつ|末:まつ
年末;nenmatsu;ねんまつ;akhir tahun;第1週;7日目;Hari ke-7;年:ねん|末:まつ
若い;wakai;わかい;muda;第1週;7日目;Hari ke-7;若:わか
晩;ban;ばん;malam;第1週;7日目;Hari ke-7;晩:ばん
晩ごはん;bangohan;ばんごはん;makan malam;第1週;7日目;Hari ke-7;晩:ばん
今晩;konban;こんばん;malam ini;第1週;7日目;Hari ke-7;今:こん|晩:ばん
毎晩;maiban;まいばん;setiap malam;第1週;7日目;Hari ke-7;毎:まい|晩:ばん
皿;sara;さら;piring;第1週;7日目;Hari ke-7;皿:さら
灰皿;haizara;はいざら;asbak;第1週;7日目;Hari ke-7;灰:はい|皿:ざら
血;chi;ち;darah;第1週;7日目;Hari ke-7;血:ち
出血;shukketsu;しゅっけつ;keluar darah;第1週;7日目;Hari ke-7;出:しゅっ|血:けつ
島;shima;しま;pulau;第1週;7日目;Hari ke-7;島:しま
~島;~tō;~とう;pulau;第1週;7日目;Hari ke-7;島:~とう
助ける;tasukeru;たすける;menolong;第1週;7日目;Hari ke-7;助:たす
救助;kyūjo;きゅうじょ;pertolongan, penyelamatan;第1週;7日目;Hari ke-7;救:きゅう|助:じょ
準備;junbi;じゅんび;persiapan;第2週;1日目;Hari ke-8;準:じゅん|備:び
備える;sonaeru;そなえる;mempersiapkan;第2週;1日目;Hari ke-8;備:そな
営業;eigyō;えいぎょう;beroperasi;第2週;1日目;Hari ke-8;営:えい|業:ぎょう
閉める;shimeru;しめる;menutup;第2週;1日目;Hari ke-8;閉:し
閉まる;shimaru;しまる;tutup;第2週;1日目;Hari ke-8;閉:し
開閉;kaihei;かいへい;buka-tutup;第2週;1日目;Hari ke-8;開:かい|閉:へい
案;an;あん;usul;第2週;1日目;Hari ke-8;案:あん
案内;annai;あんない;panduan;第2週;1日目;Hari ke-8;案:あん|内:ない
国内;kokunai;こくない;dalam negeri;第2週;1日目;Hari ke-8;国:こく|内:ない
家内;kanai;かない;istri;第2週;1日目;Hari ke-8;家:か|内:ない
以内;inai;いない;dalam...;第2週;1日目;Hari ke-8;以:い|内:ない
内側;uchigawa;うちがわ;sisi dalam;第2週;1日目;Hari ke-8;内:うち|側:がわ
予定;yotei;よてい;rencana;第2週;1日目;Hari ke-8;予:よ|定:てい
予習;yoshū;よしゅう;latihan (persiapan);第2週;1日目;Hari ke-8;予:よ|習:しゅう
予約;yoyaku;よやく;reservasi, booking;第2週;1日目;Hari ke-8;予:よ|約:やく
約〜;yaku~;やく〜;kira-kira, sekitar;第2週;1日目;Hari ke-8;約:やく
煙;kemuri;けむり;asap;第2週;2日目;Hari ke-9;煙:けむり
禁煙;kin'en;きんえん;dilarang merokok;第2週;2日目;Hari ke-9;禁:きん|煙:えん
当たる;ataru;あたる;terkena;第2週;2日目;Hari ke-9;当:あ
本当;hontō;ほんとう;benar;第2週;2日目;Hari ke-9;本:ほん|当:とう
当たり前;atarimae;あたりまえ;tentu saja, wajar;第2週;2日目;Hari ke-9;当:あたり|前:まえ
当~;tō~;とう~;ini... (formal);第2週;2日目;Hari ke-9;当:とう
全部;zenbu;ぜんぶ;semua;第2週;2日目;Hari ke-9;全:ぜん|部:ぶ
全席;zenseki;ぜんせき;semua kursi;第2週;2日目;Hari ke-9;全:ぜん|席:せき
安全（な）;anzen (na);あんぜん（な）;aman;第2週;2日目;Hari ke-9;安:あん|全:ぜん
客;kyaku;きゃく;tamu;第2週;2日目;Hari ke-9;客:きゃく
お客様;okyakusama;おきゃくさま;tamu, customer;第2週;2日目;Hari ke-9;客:きゃく|様:さま
様子;yōsu;ようす;kondisi;第2週;2日目;Hari ke-9;様:よう|子:す
~様;~sama;~さま;tuan... (hormat);第2週;2日目;Hari ke-9;様:~さま
理解;rikai;りかい;pengertian;第2週;2日目;Hari ke-9;理:り|解:かい
解説;kaisetsu;かいせつ;penjelasan;第2週;2日目;Hari ke-9;解:かい|説:せつ
解答;kaitō;かいとう;jawaban, solusi;第2週;2日目;Hari ke-9;解:かい|答:とう
分解;bunkai;ぶんかい;membongkar;第2週;2日目;Hari ke-9;分:ぶん|解:かい
協力;kyōryoku;きょうりょく;kerjasama;第2週;2日目;Hari ke-9;協:きょう|力:りょく
願う;negau;ねがう;memohon;第2週;2日目;Hari ke-9;願:ねが
観光;kankō;かんこう;sightseeing;第2週;3日目;Hari ke-10;観:かん|光:こう
観客;kankyaku;かんきゃく;penonton, audiens;第2週;3日目;Hari ke-10;観:かん|客:きゃく
動物園;dōbutsuen;どうぶつえん;kebun binatang;第2週;3日目;Hari ke-10;動:どう|物:ぶつ|園:えん
港;minato;みなと;pelabuhan;第2週;3日目;Hari ke-10;港:みなと
空港;kūkō;くうこう;bandara;第2週;3日目;Hari ke-10;空:くう|港:こう
~港;~kō;~こう;pelabuhan;第2週;3日目;Hari ke-10;港:~こう
遊ぶ;asobu;あそぶ;bermain;第2週;3日目;Hari ke-10;遊:あそ
遊園地;yūenchi;ゆうえんち;theme park, taman bermain;第2週;3日目;Hari ke-10;遊:ゆう|園:えん|地:ち
美術館;bijutsukan;びじゅつかん;museum seni, galeri seni;第2週;3日目;Hari ke-10;美:び|術:じゅつ|館:かん
美人;bijin;びじん;orang yang cantik;第2週;3日目;Hari ke-10;美:び|人:じん
美しい;utsukushī;うつくしい;cantik, mempesona;第2週;3日目;Hari ke-10;美:うつく
美術;bijutsu;びじゅつ;seni;第2週;3日目;Hari ke-10;美:び|術:じゅつ
手術;shujutsu;しゅじゅつ;operasi;第2週;3日目;Hari ke-10;手:しゅ|術:じゅつ
技術;gijutsu;ぎじゅつ;teknologi;第2週;3日目;Hari ke-10;技:ぎ|術:じゅつ
神社;jinja;じんじゃ;kuil shinto;第2週;3日目;Hari ke-10;神:じん|社:じゃ
神様;kamisama;かみさま;tuhan, dewa;第2週;3日目;Hari ke-10;神:かみ|様:さま
神経質（な）;shinkeishitsu (na);しんけいしつ（な）;sensitif (merasakan sesuatu sampai detail);第2週;3日目;Hari ke-10;神:しん|経:けい|質:しつ
お寺;otera;おてら;kuil budha, wihara;第2週;3日目;Hari ke-10;寺:てら
~寺;~ji;~じ;kuil budha, wihara;第2週;3日目;Hari ke-10;寺:~じ
市役所;shiyakusho;しやくしょ;kantor walikota, kantor pemerintah kota;第2週;4日目;Hari ke-11;市:し|役:やく|所:しょ
役に立つ;yaku ni tatsu;やくにたつ;bermanfaat;第2週;4日目;Hari ke-11;役:やく|立:た
役員;yakuin;やくいん;direktur (anggota);第2週;4日目;Hari ke-11;役:やく|員:いん
郵便;yūbin;ゆうびん;pos;第2週;4日目;Hari ke-11;郵:ゆう|便:びん
郵便局;yūbinkyoku;ゆうびんきょく;kantor pos;第2週;4日目;Hari ke-11;郵:ゆう|便:びん|局:きょく
薬局;yakkyoku;やっきょく;toko obat;第2週;4日目;Hari ke-11;薬:やっ|局:きょく
交番;kōban;こうばん;pos polisi;第2週;4日目;Hari ke-11;交:こう|番:ばん
交換;kōkan;こうかん;pertukaran;第2週;4日目;Hari ke-11;交:こう|換:かん
交通;kōtsū;こうつう;lalu lintas;第2週;4日目;Hari ke-11;交:こう|通:つう
差;sa;さ;perbedaan;第2週;4日目;Hari ke-11;差:さ
差し出す;sashidasu;さしだす;mengeluarkan, mengulurkan, memberi;第2週;4日目;Hari ke-11;差:さ|出:だ
差出人;sashidashinin;さしだしにん;pengirim;第2週;4日目;Hari ke-11;差:さし|出:だし|人:にん
交差点;kōsaten;こうさてん;perempatan;第2週;4日目;Hari ke-11;交:こう|差:さ|点:てん
点数;tensū;てんすう;nilai;第2週;4日目;Hari ke-11;点:てん|数:すう
〜点;~ten;〜てん;nilai...;第2週;4日目;Hari ke-11;点:〜てん
橋;hashi;はし;jembatan;第2週;4日目;Hari ke-11;橋:はし
歩道橋;hodōkyō;ほどうきょう;jembatan penyeberangan;第2週;4日目;Hari ke-11;歩:ほ|道:どう|橋:きょう
公園;kōen;こうえん;taman;第2週;4日目;Hari ke-11;公:こう|園:えん
受ける;ukeru;うける;menerima;第2週;5日目;Hari ke-12;受:う
受験;juken;じゅけん;mengikuti ujian;第2週;5日目;Hari ke-12;受:じゅ|験:けん
受信;jushin;じゅしん;mendapat (email, sinyal, dll);第2週;5日目;Hari ke-12;受:じゅ|信:しん
付く;tsuku;つく;menempel;第2週;5日目;Hari ke-12;付:つ
付ける;tsukeru;つける;menempelkan;第2週;5日目;Hari ke-12;付:つ
受付;uketsuke;うけつけ;resepsionis;第2週;5日目;Hari ke-12;受:うけ|付:つけ
片付ける;katazukeru;かたづける;membereskan;第2週;5日目;Hari ke-12;片:かた|付:づ
科学;kagaku;かがく;ilmu pengetahuan;第2週;5日目;Hari ke-12;科:か|学:がく
内科;naika;ないか;(bagian) pengobatan;第2週;5日目;Hari ke-12;内:ない|科:か
外科;geka;げか;(bagian) operasi;第2週;5日目;Hari ke-12;外:げ|科:か
教科書;kyōkasho;きょうかしょ;buku pelajaran;第2週;5日目;Hari ke-12;教:きょう|科:か|書:しょ
鼻;hana;はな;hidung;第2週;5日目;Hari ke-12;鼻:はな
耳鼻科;jibika;じびか;(bagian) pengobatan telinga, hidung (THT);第2週;5日目;Hari ke-12;耳:じ|鼻:び|科:か
主婦;shufu;しゅふ;ibu rumah tangga;第2週;5日目;Hari ke-12;主:しゅ|婦:ふ
婦人;fujin;ふじん;wanita, nyonya;第2週;5日目;Hari ke-12;婦:ふ|人:じん
産婦人科;sanfujinka;さんふじんか;obstetri dan ginekologi;第2週;5日目;Hari ke-12;産:さん|婦:ふ|人:じん|科:か
骨;hone;ほね;tulang;第2週;5日目;Hari ke-12;骨:ほね
骨折;kossetsu;こっせつ;patah tulang;第2週;5日目;Hari ke-12;骨:こっ|折:せつ
人形;ningyō;にんぎょう;boneka;第2週;5日目;Hari ke-12;人:にん|形:ぎょう
形式;keishiki;けいしき;bentuk, format;第2週;5日目;Hari ke-12;形:けい|式:しき
図形;zukei;ずけい;bentuk (bulat, persegi);第2週;5日目;Hari ke-12;図:ず|形:けい
整形外科;seikeigeka;せいけいげか;ortopedi;第2週;5日目;Hari ke-12;整:せい|形:けい|外:げ|科:か
折る・折れる;oru・oreru;おる・おれる;mematahkan - patah;第2週;5日目;Hari ke-12;折:お|折:お
左折;sasetsu;させつ;belok kiri;第2週;5日目;Hari ke-12;左:さ|折:せつ
右折;usetsu;うせつ;belok kanan;第2週;5日目;Hari ke-12;右:う|折:せつ
折り紙;origami;おりがみ;origami;第2週;5日目;Hari ke-12;折:お|紙:がみ
困る;komaru;こまる;bingung, merasa kesulitan;第2週;6日目;Hari ke-13;困:こま
消す;kesu;けす;mematikan, menghapus;第2週;6日目;Hari ke-13;消:け
消える;kieru;きえる;mati, hilang;第2週;6日目;Hari ke-13;消:き
消しゴム;keshigomu;けしごむ;penghapus;第2週;6日目;Hari ke-13;消:け
消防;shōbō;しょうぼう;pemadam kebakaran;第2週;6日目;Hari ke-13;消:しょう|防:ぼう
防ぐ;fusegu;ふせぐ;menghalangi, mencegah;第2週;6日目;Hari ke-13;防:ふせ
予防;yobō;よぼう;pencegahan;第2週;6日目;Hari ke-13;予:よ|防:ぼう
救う;sukū;すくう;menyelamatkan;第2週;6日目;Hari ke-13;救:すく
救急車;kyūkyūsha;きゅうきゅうしゃ;ambulan;第2週;6日目;Hari ke-13;救:きゅう|急:きゅう|車:しゃ
警官;keikan;けいかん;pak polisi;第2週;6日目;Hari ke-13;警:けい|官:かん
警察;keisatsu;けいさつ;polisi;第2週;6日目;Hari ke-13;警:けい|察:さつ
警察署;keisatsusho;けいさつしょ;kantor polisi;第2週;6日目;Hari ke-13;警:けい|察:さつ|署:しょ
事故;jiko;じこ;kecelakaan;第2週;6日目;Hari ke-13;事:じ|故:こ
故障;koshō;こしょう;rusak;第2週;6日目;Hari ke-13;故:こ|障:しょう
故~;ko~;こ~;almarhum;第2週;6日目;Hari ke-13;故:こ
伝える;tsutaeru;つたえる;menyampaikan;第2週;6日目;Hari ke-13;伝:つた
手伝う;tetsudau;てつだう;membantu;第2週;6日目;Hari ke-13;手:て|伝:つだ
伝言;dengon;でんごん;pesan;第2週;6日目;Hari ke-13;伝:でん|言:ごん
黄色;kīro;きいろ;kuning;第2週;7日目;Hari ke-14;黄:き|色:いろ
黄色い;kīroi;きいろい;kuning;第2週;7日目;Hari ke-14;黄:き|色:いろ
絵;e;え;gambar;第2週;7日目;Hari ke-14;絵:え
絵本;ehon;えほん;buku cerita bergambar;第2週;7日目;Hari ke-14;絵:え|本:ほん
絵画;kaiga;かいが;lukisan;第2週;7日目;Hari ke-14;絵:かい|画:が
組む;kumu;くむ;menyatukan;第2週;7日目;Hari ke-14;組:く
組み立てる;kumitateru;くみたてる;merakit;第2週;7日目;Hari ke-14;組:く|立:た
番組;bangumi;ばんぐみ;program, acara tv;第2週;7日目;Hari ke-14;番:ばん|組:ぐみ
〜組;~kumi;〜くみ;pasangan;第2週;7日目;Hari ke-14;組:〜くみ
約束;yakusoku;やくそく;janji;第2週;7日目;Hari ke-14;約:やく|束:そく
花束;hanataba;はなたば;karangan bunga;第2週;7日目;Hari ke-14;花:はな|束:たば
〜束;~taba;〜たば;buket, ikatan;第2週;7日目;Hari ke-14;束:〜たば
授業;jugyō;じゅぎょう;kelas, kuliah;第2週;7日目;Hari ke-14;授:じゅ|業:ぎょう
教授;kyōju;きょうじゅ;profesor;第2週;7日目;Hari ke-14;教:きょう|授:じゅ
渡る;wataru;わたる;menyeberang;第2週;7日目;Hari ke-14;渡:わた
渡す;watasu;わたす;menyerahkan;第2週;7日目;Hari ke-14;渡:わた
昔;mukashi;むかし;dahulu;第2週;7日目;Hari ke-14;昔:むかし
必ず;kanarazu;かならず;pasti;第3週;1日目;Hari ke-15;必:かなら
必死;hisshi;ひっし;mati-matian;第3週;1日目;Hari ke-15;必:ひっ|死:し
要る;iru;いる;perlu;第3週;1日目;Hari ke-15;要:い
必要;hitsuyō;ひつよう;butuh;第3週;1日目;Hari ke-15;必:ひつ|要:よう
冷やす;hiyasu;ひやす;mendinginkan;第3週;1日目;Hari ke-15;冷:ひ
冷える;hieru;ひえる;dingin (turun dari suhu asal);第3週;1日目;Hari ke-15;冷:ひ
冷ます;samasu;さます;mendinginkan;第3週;1日目;Hari ke-15;冷:さ
冷める;sameru;さめる;dingin (sesuatu yang dipanaskan, suhunya kembali seperti semula);第3週;1日目;Hari ke-15;冷:さ
冷蔵庫;reizōko;れいぞうこ;kulkas;第3週;1日目;Hari ke-15;冷:れい|蔵:ぞう|庫:こ
冷凍庫;reitōko;れいとうこ;freezer;第3週;1日目;Hari ke-15;冷:れい|凍:とう|庫:こ
凍る;kōru;こおる;beku;第3週;1日目;Hari ke-15;凍:こお
金庫;kinko;きんこ;brangkas;第3週;1日目;Hari ke-15;金:きん|庫:こ
車庫;shako;しゃこ;garasi;第3週;1日目;Hari ke-15;車:しゃ|庫:こ
保存する;hozonsuru;ほぞんする;menyimpan;第3週;1日目;Hari ke-15;保:ほ|存:ぞん
ご存じです;gozonji desu;ごぞんじです;tahu, kenal;第3週;1日目;Hari ke-15;存:ぞん
存じる;zonjiru;ぞんじる;tahu, kenal;第3週;1日目;Hari ke-15;存:ぞん
召し上がる;meshiagaru;めしあがる;makan, minum;第3週;1日目;Hari ke-15;召:め|上:あ
